,Australia,Brazil,Canada,Colombia,France,Indonesia,Israel,Japan,"Korea, Republic of",Mexico,New Zealand,Norway,Portugal,Sweden,Switzerland,United Kingdom,United States
1990Q1,303.4,0.0107539683333333,159.6,8.85,955.3833333333326,11.0557266666667,465.81492333333324,1182.4718366666666,655.4760000000003,21.1235633333333,70.37487,1014.4333333333328,581.3099999999996,2445.559999999998,1095.9304666666667,833.866666666667,128.033333333333
1990Q2,306.4,0.0218920633333333,160.3666666666667,9.56666666666667,962.4266666666671,11.2990066666667,485.79037,1195.0625166666664,668.1873333333331,22.2221866666666,71.61066,1028.1333333333337,595.762,2492.7299999999996,1104.5495666666668,853.7999999999998,129.333333333333
1990Q3,310.3,0.0310097533333333,161.83333333333331,10.0666666666667,967.6199999999998,11.75047,501.80281666666673,1195.38754,665.0956666666665,23.3856333333333,72.32612,1015.9999999999999,608.3466666666667,2550.1233333333344,1116.1213666666667,860.4666666666666,131.566666666667
1990Q4,315.2,0.0475573966666667,162.6333333333333,10.71,976.7000000000006,11.96115,522.2502933333335,1207.0686166666658,670.1650000000001,24.623656666666697,73.10661,1029.233333333333,624.5813333333334,2588.776666666668,1129.0766,883.5333333333331,133.7
1991Q1,319.5,0.0795990333333333,166.89999999999998,11.6466666666667,982.7566666666662,12.0965866666667,547.9694666666667,1207.453959999999,688.6086666666664,26.36815,73.5619,991.3333333333333,649.7546666666666,2724.273333333334,1154.5417,881.2000000000002,134.8
1991Q2,321.20000000000005,0.103728633333333,168.8666666666667,12.5566666666667,988.6399999999999,12.3749866666667,575.0203833333333,1216.8087933333336,696.4699999999998,27.2629033333333,73.62695,1003.7666666666667,667.2413333333333,2754.5933333333332,1171.2597,915.2666666666667,135.6
1991Q3,325.5,0.148847833333333,168.5333333333333,13.1833333333333,994.2366666666675,12.8214266666667,598.8554766666666,1218.1034466666665,704.1306666666667,27.9413,73.88711,1003.3666666666663,676.6099999999999,2772.3800000000006,1182.4929333333332,918.4333333333341,136.666666666667
1991Q4,328.4,0.2603535,165.3666666666667,13.7166666666667,1003.2733333333339,13.11237,620.3064366666667,1226.570119999999,709.7379999999999,28.96407,73.82207,1014.4000000000005,689.4583333333335,2802.956666666667,1192.6657000000005,936.2666666666668,137.7
1992Q1,333.5,0.501394033333333,166.2666666666667,14.8233333333333,1007.2133333333334,13.28543,626.4817366666671,1225.3287200000004,719.7476666666666,30.43299,74.14728,1000.3666666666669,712.5210000000002,2797.209999999999,1209.6449333333337,930.0333333333327,138.666666666667
1992Q2,329.1,0.9068422,167.6333333333333,16.01,1014.1899999999997,13.51617,635.1604800000003,1241.6370066666664,728.967333333333,31.0845633333334,74.3424,1014.4000000000003,735.0356666666667,2808.7733333333326,1219.6418333333322,944.4999999999999,139.8
1992Q3,329.29999999999995,1.65563833333333,167.9666666666667,16.8266666666667,1016.4099999999999,13.63155,641.2083700000005,1236.6743033333335,734.3820000000001,31.422199999999997,74.60257,1013.8,744.5866666666667,2849.3333333333317,1226.3732000000005,938.966666666667,140.9
1992Q4,331.1,3.16930566666667,167.9,17.2466666666667,1022.5233333333334,13.7644766666667,659.5546800000006,1242.4946866666673,736.7303333333333,32.1094933333333,74.79769,1022.9666666666665,757.6353333333333,2874.3833333333337,1235.573800000001,950.6999999999999,141.9
1993Q1,335.9,6.474632,170.0,18.4633333333333,1027.6866666666667,14.5068733333333,704.6767166666675,1240.2285633333327,749.1559999999996,33.0564066666667,74.86273,1011.0333333333327,776.0376666666667,2960.500000000001,1250.6714333333332,943.1666666666669,143.1
1993Q2,336.6,13.4894233333333,170.5,19.5666666666667,1033.2799999999995,14.7928,730.014596666667,1252.1903666666667,758.1593333333333,33.447630000000004,75.31802,1025.2,794.3550000000004,2979.0799999999986,1259.3598333333325,956.4333333333334,144.2
1993Q3,337.20000000000005,30.74414,170.6,20.3633333333333,1036.7566666666664,14.9708733333333,735.2553133333332,1251.0347966666673,759.2733333333338,33.9191233333334,75.70827,1011.2666666666662,806.1596666666668,2985.473333333333,1262.4825666666663,952.0333333333338,144.766666666667
1993Q4,337.1,75.6621033333333,171.0,21.08,1041.5499999999997,15.1690166666667,754.1250333333331,1248.356296666667,760.6923333333335,34.26299,75.83836,1019.2666666666663,819.9823333333336,3008.3166666666657,1265.728033333334,963.133333333334,145.766666666667
1994Q1,342.1,207.496666666667,170.7333333333333,22.71,1045.7833333333333,15.65559,754.8161766666667,1239.5148066666666,776.2596666666668,34.90406,75.83836,1007.5333333333333,834.3679999999996,3032.063333333334,1271.3613666666668,952.4000000000004,146.7
1994Q2,343.8,614.17,170.2666666666666,24.19,1050.863333333334,15.9189366666667,779.9283266666662,1252.4644033333334,784.5846666666667,35.29254,76.14171,1017.8666666666667,843.0069999999995,3056.2733333333326,1271.430366666667,961.6666666666666,147.633333333333
