,France,Japan,"Korea, Republic of",Norway,Portugal,Sweden,Switzerland,United Kingdom,United States
1990Q1,955.3833333333326,1182.4718366666666,655.4760000000003,1014.4333333333328,581.3099999999996,2445.559999999998,1095.9304666666667,833.866666666667,128.033333333333
1990Q2,962.4266666666671,1195.0625166666664,668.1873333333331,1028.1333333333337,595.762,2492.7299999999996,1104.5495666666668,853.7999999999998,129.333333333333
1990Q3,967.6199999999998,1195.38754,665.0956666666665,1015.9999999999999,608.3466666666667,2550.1233333333344,1116.1213666666667,860.4666666666666,131.566666666667
1990Q4,976.7000000000006,1207.0686166666658,670.1650000000001,1029.233333333333,624.5813333333334,2588.776666666668,1129.0766,883.5333333333331,133.7
1991Q1,982.7566666666662,1207.453959999999,688.6086666666664,991.3333333333333,649.7546666666666,2724.273333333334,1154.5417,881.2000000000002,134.8
1991Q2,988.6399999999999,1216.8087933333336,696.4699999999998,1003.7666666666667,667.2413333333333,2754.5933333333332,1171.2597,915.2666666666667,135.6
1991Q3,994.2366666666675,1218.1034466666665,704.1306666666667,1003.3666666666663,676.6099999999999,2772.3800000000006,1182.4929333333332,918.4333333333341,136.666666666667
1991Q4,1003.2733333333339,1226.570119999999,709.7379999999999,1014.4000000000005,689.4583333333335,2802.956666666667,1192.6657000000005,936.2666666666668,137.7
1992Q1,1007.2133333333334,1225.3287200000004,719.7476666666666,1000.3666666666669,712.5210000000002,2797.209999999999,1209.6449333333337,930.0333333333327,138.666666666667
1992Q2,1014.1899999999997,1241.6370066666664,728.967333333333,1014.4000000000003,735.0356666666667,2808.7733333333326,1219.6418333333322,944.4999999999999,139.8
1992Q3,1016.4099999999999,1236.6743033333335,734.3820000000001,1013.8,744.5866666666667,2849.3333333333317,1226.3732000000005,938.966666666667,140.9
1992Q4,1022.5233333333334,1242.4946866666673,736.7303333333333,1022.9666666666665,757.6353333333333,2874.3833333333337,1235.573800000001,950.6999999999999,141.9
1993Q1,1027.6866666666667,1240.2285633333327,749.1559999999996,1011.0333333333327,776.0376666666667,2960.500000000001,1250.6714333333332,943.1666666666669,143.1
1993Q2,1033.2799999999995,1252.1903666666667,758.1593333333333,1025.2,794.3550000000004,2979.0799999999986,1259.3598333333325,956.4333333333334,144.2
1993Q3,1036.7566666666664,1251.0347966666673,759.2733333333338,1011.2666666666662,806.1596666666668,2985.473333333333,1262.4825666666663,952.0333333333338,144.766666666667
1993Q4,1041.5499999999997,1248.356296666667,760.6923333333335,1019.2666666666663,819.9823333333336,3008.3166666666657,1265.728033333334,963.133333333334,145.766666666667
1994Q1,1045.7833333333333,1239.5148066666666,776.2596666666668,1007.5333333333333,834.3679999999996,3032.063333333334,1271.3613666666668,952.4000000000004,146.7
1994Q2,1050.863333333334,1252.4644033333334,784.5846666666667,1017.8666666666667,843.0069999999995,3056.2733333333326,1271.430366666667,961.6666666666666,147.633333333333
1994Q3,1051.4066666666668,1250.1192733333341,792.8096666666667,1018.0666666666668,847.3583333333336,3070.296666666668,1274.8448333333342,957.633333333333,148.933333333333
1994Q4,1056.2066666666674,1253.3291433333331,787.6853333333333,1025.1999999999996,857.4296666666667,3100.0966666666673,1276.4122000000004,962.6000000000003,149.633333333333
1995Q1,1059.3766666666663,1249.4134400000007,798.3529999999998,1016.6999999999995,876.193333333334,3131.4699999999984,1294.6928000000005,958.7666666666671,150.866666666667
1995Q2,1063.5333333333333,1256.6176166666671,808.4066666666668,1026.733333333333,884.0406666666671,3159.693333333334,1298.534333333333,971.3333333333329,152.2
1995Q3,1064.81,1252.4664066666667,813.8433333333335,1025.8666666666668,888.5610000000006,3193.6466666666656,1299.3889333333334,965.9999999999994,152.866666666667
1995Q4,1071.5999999999997,1255.0734533333334,817.9996666666665,1033.1,894.443,3215.873333333334,1300.4863,976.7666666666664,153.6
1996Q1,1075.52,1247.4088166666666,830.6860000000003,1019.0999999999996,903.5509999999996,3221.1899999999987,1298.640633333333,969.1333333333325,155.0
1996Q2,1083.2799999999993,1254.5837099999997,839.5276666666665,1027.2333333333333,913.7809999999994,3233.736666666665,1300.2374999999997,979.8666666666674,156.533333333333
1996Q3,1077.013333333334,1250.4089933333332,847.376666666667,1030.766666666666,918.0250000000001,3226.479999999999,1302.666666666667,975.0666666666663,157.366666666667
1996Q4,1080.253333333333,1253.6042633333327,850.6583333333336,1042.7000000000005,924.8959999999996,3246.783333333333,1304.8967333333328,985.2333333333335,158.5
1997Q1,1084.1833333333334,1244.6842666666669,856.9826666666665,1039.9666666666667,934.4920000000006,3270.306666666665,1308.5975999999998,975.6333333333337,159.566666666667
1997Q2,1088.729999999999,1271.55526,861.4140000000001,1045.5000000000002,939.8593333333333,3301.100000000001,1308.780533333333,984.7000000000002,160.2
1997Q3,1088.4166666666665,1271.3893733333332,866.9206666666665,1043.9666666666665,943.0856666666668,3309.7966666666653,1297.1200999999996,983.2666666666663,160.833333333333
1997Q4,1083.6233333333334,1281.4624933333332,877.3276666666671,1054.0,947.151333333333,3362.5533333333346,1292.727799999999,994.1999999999999,161.466666666667
1998Q1,1083.0266666666666,1268.4042899999997,911.3363333333332,1056.7999999999993,947.5999999999995,3334.029999999999,1294.2590666666667,983.1999999999996,161.9
