Date,AAPL,AXP,BA,CAT,CSCO,CVX,DD,DIS,GE,GS,HD,IBM,INTC,JNJ,JPM,KO,MCD,MMM,MRK,MSFT,NKE,PFE,PG,TRV,UNH,UTX,V,VZ,WMT,XOM,^GSPC
8/11/2017,0.010864861,-0.019735164,-0.006030079,-0.013204417,-0.010431579,-0.008024097,-0.012762487,-0.054381998,-0.022755002,-0.024850374,0.013848058,-0.012626785,-0.01191645,-0.000600774,-0.024206995,0.001976068,0.022371696,-0.008074884,-0.011476011,-0.002479682,-0.01330765,-0.011661038,0.007362244,-0.011711531,-0.009590179,-0.038598625,-0.007961063,-0.017531623,0.005275808,-0.015604541,-0.014440644
8/4/2017,0.045056516,0.013702832,-0.014865199,0.002188664,0.008843993,0.018238126,-0.023737496,-0.020859906,0.009744766,0.02726235,0.031049916,0.006011503,0.035130292,0.010036586,0.025739552,-0.011146395,-0.013110912,0.038937551,-0.015879636,-0.004941006,0.018408019,0.024393695,0.005086245,0.019307746,0.019325581,0.021801454,0.017396929,0.020031666,0.008359959,0.007634152,0.001911517
7/28/2017,-0.00513735,-0.009272829,0.128670281,0.068085578,-0.010101096,0.046088517,-0.002155403,0.026447089,-0.014774724,0.015458106,0.009703927,-0.019151624,0.016562358,-0.025903469,0.004281721,0.021529809,0.012461071,-0.055699768,0.023355961,-0.010215985,-0.021582409,-0.009905446,0.017895545,0.016326222,-0.003290448,-0.038129681,-0.004528269,0.080546916,0.046943648,-0.006511492,-0.000177947
7/21/2017,0.008219053,0.003628458,0.017259415,-0.013053544,0.013278728,-0.011459531,-0.002480974,0.018852477,-0.033026383,-0.037528416,-0.041604578,-0.04753319,0.001440673,0.020231304,-0.01485231,0.007802938,-0.008796958,-0.00288464,-0.006842257,0.013782056,0.033067888,0.001494505,0.025002665,-0.004544186,0.025775194,0.000647987,0.027173076,0.015263971,-0.002491871,-0.014374382,0.005381412
7/14/2017,0.033152199,0.011202251,0.029889277,0.017154643,0.016688449,0.009137793,0.032620764,0.01698612,0.023806187,0.014629709,0.004260824,0.00846424,0.023338332,0.000452689,-0.017195459,0.006511778,-0.006355374,0.010347577,-0.001584519,0.046690146,0.000344887,0.002395955,-0.006294778,-0.011467538,-0.005655529,0.006503583,0.031545734,0.001838259,0.013318563,0.013127071,0.013958846
7/7/2017,0.001110263,0.004835209,0.023094088,-0.005037821,-0.003562482,-0.008084001,0.016222482,-0.020552196,-0.032357977,0.015117266,-0.007656341,-0.005802488,0.004140707,0.001888004,0.031937719,-0.010309348,0.020102153,0.006702088,-0.014617094,0.007659536,-0.01743932,-0.007170621,0.005720853,0.005045332,0.0136057,0.004086308,0.001491732,-0.013747547,-0.004635513,-0.006337392,0.000730117
6/30/2017,-0.015570409,0.024271296,-0.022402016,0.031670622,-0.024926373,-0.006401379,-0.003463139,0.017948369,-0.020521057,0.021454247,0.013718151,-0.001818513,-0.013249034,-0.030815182,0.050947895,-0.008879126,-0.009616676,-0.02237141,-0.031787828,-0.032541747,0.110079769,-0.017119712,-0.02571357,-0.008891085,0.000917247,-0.000900422,-0.019012011,-0.016213591,0.011161498,-0.010841548,-0.006125492
6/23/2017,0.027795887,0.009409252,0.029048571,-0.03297254,0.014438415,-0.031406359,-0.018108966,-0.010959293,-0.050567605,-0.021048595,-0.034619473,-0.008207142,-0.029396985,0.015363232,0.007859459,-0.001325111,0.017285066,-0.001595772,0.049417673,0.017138002,0.033673216,0.035749925,-0.002680416,-0.013846958,0.019734586,0.014754036,0.014861976,-0.026952314,-0.005330494,-0.022774983,0.002114421
6/16/2017,-0.046085358,0.014095173,0.033175159,0.015736563,0.008254004,0.018161114,-0.005200431,-0.001042053,0.045636944,-0.002836261,0.023773677,0.008271984,-0.014100584,0.021213425,-0.009010122,0.007975218,0.003361185,0.030037777,-0.014973894,-0.004561011,-0.045149234,0.006084647,0.016871341,0.033065398,0.005057584,-0.001742225,-0.004132894,-0.001928186,-0.054067199,0.016423443,0.000567278
6/9/2017,-0.042512037,0.022922915,-0.001051953,-0.000283192,-0.019258664,0.031409206,0.02925362,-0.014661883,0.002149765,0.041910914,-0.015504179,0.013392407,-0.016937849,0.011085294,0.050954458,-0.012498761,-0.01480932,0.001112086,-0.016633684,-0.020270992,0.009019208,0.007043358,-0.004865528,0.006461001,0.011473072,-0.012193296,-0.01667496,0.006011174,-0.002515233,0.03254633,-0.002997452
